Pixels. Value
0. 0.0061496246494981
0.1. 0.0061496246494981
0.2. 0.0061496246494981
0.3. 0.0112346924268982
0.4. 0.0112346924268982
0.5. 0.0112346924268982
0.6. 0.0112346924268982
0.7. 0.0112346924268982
0.8. 0.0112346924268982
0.9. 0.0112346924268982
1. 0.0112346924268982
1.1. 0.0112346924268982
1.2. 0.0112346924268982
1.3. 0.0112346924268982
1.4. 0.0243194400004521
1.5. 0.0243194400004521
1.6. 0.0243194400004521
1.7. 0.0243194400004521
1.8. 0.0243194400004521
1.9. 0.0243194400004521
2. 0.0243194400004521
2.1. 0.0243194400004521
2.2. 0.0243194400004521
2.3. 0.0243194400004521
2.4. 0.0243194400004521
2.5. 0.0243194400004521
2.6. 0.0528661009784584
2.7. 0.0528661009784584
2.8. 0.0528661009784584
2.9. 0.0528661009784584
3. 0.0528661009784584
3.1. 0.0528661009784584
3.2. 0.0528661009784584
3.3. 0.0528661009784584
3.4. 0.0528661009784584
3.5. 0.06292254599352
3.6. 0.06292254599352
3.7. 0.138743800495567
3.8. 0.138743800495567
3.9. 0.138743800495567
4. 0.138743800495567
4.1. 0.138743800495567
4.2. 0.138743800495567
4.3. 0.138743800495567
4.4. 0.138743800495567
4.5. 0.138743800495567
4.6. 0.138743800495567
4.7. 0.138743800495567
4.8. 0.138743800495567
4.9. 0.333144287944995
5. 0.333144287944995
5.1. 0.333144287944995
5.2. 0.333144287944995
5.3. 0.333144287944995
5.4. 0.333144287944995
5.5. 0.408324741223061
5.6. 0.408324741223061
5.7. 0.408324741223061
5.8. 0.408324741223061
5.9. 0.408324741223061
6. 0.526211495428398
6.1. 0.526211495428398
6.2. 0.526211495428398
6.3. 0.526211495428398
6.4. 0.526211495428398
6.5. 0.526211495428398
6.6. 0.526211495428398
6.7. 0.526211495428398
6.8. 0.526211495428398
6.9. 0.526211495428398
7. 0.526211495428398
7.1. 0.524134059202265
7.2. 0.524134059202265
7.3. 0.524134059202265
7.4. 0.524134059202265
7.5. 0.524134059202265
7.6. 0.518501209733397
7.7. 0.518501209733397
7.8. 0.518501209733397
7.9. 0.518501209733397
8. 0.518501209733397
8.1. 0.518501209733397
8.2. 0.518501209733397
8.3. 0.519937844735548
8.4. 0.519937844735548
8.5. 0.519937844735548
8.6. 0.519937844735548
8.7. 0.519937844735548
8.8. 0.519937844735548
8.9. 0.519937844735548
9. 0.519937844735548
9.1. 0.519937844735548
9.2. 0.519937844735548
9.3. 0.519937844735548
