Pixels. Value
0. 0.00696459139040063
0.1. 0.00696459139040063
0.2. 0.00696459139040063
0.3. 0.00696459139040063
0.4. 0.00696459139040063
0.5. 0.00696459139040063
0.6. 0.0106184784676833
0.7. 0.0106184784676833
0.8. 0.0106184784676833
0.9. 0.0177041931866126
1. 0.0177041931866126
1.1. 0.0177041931866126
1.2. 0.0177041931866126
1.3. 0.0177041931866126
1.4. 0.0177041931866126
1.5. 0.0177041931866126
1.6. 0.0177041931866126
1.7. 0.0177041931866126
1.8. 0.0177041931866126
1.9. 0.0177041931866126
2. 0.0253349628839211
2.1. 0.0253349628839211
2.2. 0.0253349628839211
2.3. 0.0253349628839211
2.4. 0.0253349628839211
2.5. 0.0253349628839211
2.6. 0.0293219391146577
2.7. 0.0293219391146577
2.8. 0.0293219391146577
2.9. 0.0293219391146577
3. 0.0293219391146577
3.1. 0.0293219391146577
3.2. 0.0477831531045747
3.3. 0.0477831531045747
3.4. 0.0477831531045747
3.5. 0.0477831531045747
3.6. 0.0477831531045747
3.7. 0.0477831531045747
3.8. 0.0477831531045747
3.9. 0.0477831531045747
4. 0.0477831531045747
4.1. 0.0477831531045747
4.2. 0.0477831531045747
4.3. 0.0852102616199451
4.4. 0.0852102616199451
4.5. 0.0852102616199451
4.6. 0.0852102616199451
4.7. 0.107173958526484
4.8. 0.107173958526484
4.9. 0.107173958526484
5. 0.107173958526484
5.1. 0.107173958526484
5.2. 0.107173958526484
5.3. 0.107173958526484
5.4. 0.107173958526484
5.5. 0.322440394154128
5.6. 0.322440394154128
5.7. 0.322440394154128
5.8. 0.322440394154128
5.9. 0.322440394154128
6. 0.322440394154128
6.1. 0.322440394154128
6.2. 0.322440394154128
6.3. 0.322440394154128
6.4. 0.322440394154128
6.5. 0.322440394154128
6.6. 0.469282242773763
6.7. 0.51334085352608
6.8. 0.51334085352608
6.9. 0.51334085352608
7. 0.51334085352608
7.1. 0.51334085352608
7.2. 0.51334085352608
7.3. 0.51334085352608
7.4. 0.51334085352608
7.5. 0.51334085352608
7.6. 0.51334085352608
7.7. 0.51334085352608
7.8. 0.506790100174819
7.9. 0.506790100174819
8. 0.506790100174819
8.1. 0.506790100174819
8.2. 0.506790100174819
8.3. 0.506790100174819
8.4. 0.506790100174819
8.5. 0.506790100174819
8.6. 0.506790100174819
8.7. 0.506790100174819
8.8. 0.49720116999963
8.9. 0.492023147705027
9. 0.492023147705027
9.1. 0.492023147705027
9.2. 0.492023147705027
9.3. 0.492023147705027
9.4. 0.492023147705027
9.5. 0.492023147705027
9.6. 0.492023147705027
9.7. 0.492023147705027
9.8. 0.492023147705027
9.9. 0.492023147705027
10. 0.492023147705027
10.1. 0.492002960483606
10.2. 0.492002960483606
10.3. 0.492002960483606
10.4. 0.492002960483606
10.5. 0.492002960483606
10.6. 0.492002960483606
10.7. 0.492002960483606
10.8. 0.492134177422845
10.9. 0.492134177422845
11. 0.492134177422845
11.1. 0.492134177422845
11.2. 0.504619973872013
11.3. 0.504619973872013
11.4. 0.504619973872013
