Pixels, Value
40,9, 4672
41, 4672
41,1, 4672
41,2, 4672
41,3, 4352
41,4, 4352
41,5, 4352
41,6, 4352
41,7, 4352
41,8, 4352
41,9, 4352
42, 4352
42,1, 4352
42,2, 4352
42,3, 4288
42,4, 4288
42,5, 4288
42,6, 4288
42,7, 4288
42,8, 4288
42,9, 4288
43, 4288
43,1, 4288
43,2, 4288
43,3, 4992
43,4, 4992
43,5, 4992
43,6, 4992
43,7, 4992
43,8, 4992
43,9, 4992
44, 4992
44,1, 4992
44,2, 4992
44,3, 4160
44,4, 4160
44,5, 4160
44,6, 4160
44,7, 4160
44,8, 4160
44,9, 4160
45, 4160
45,1, 4160
45,2, 4160
45,3, 4288
45,4, 4288
45,5, 4288
45,6, 4288
45,7, 4288
45,8, 4288
45,9, 4288
46, 4288
46,1, 4288
46,2, 4288
46,3, 4544
46,4, 4544
46,5, 4544
46,6, 4544
46,7, 4544
46,8, 4544
46,9, 4544
47, 4544
47,1, 4544
47,2, 4544
47,3, 4160
47,4, 4160
47,5, 4160
47,6, 4160
47,7, 4160
47,8, 4160
47,9, 4160
48, 4160
48,1, 4160
48,2, 4160
48,3, 4096
48,4, 4096
48,5, 4096
48,6, 4096
48,7, 4096
48,8, 4096
48,9, 4096
49, 4096
49,1, 4096
49,2, 4096
49,3, 4416
49,4, 4416
49,5, 4416
49,6, 4416
49,7, 4416
49,8, 4416
49,9, 4416
50, 4416
50,1, 4416
50,2, 4416
50,3, 4544
50,4, 4544
50,5, 4544
50,6, 4544
50,7, 4544
50,8, 4544
50,9, 4544
51, 4544
51,1, 4544
51,2, 4544
51,3, 4416
51,4, 4416
51,5, 4416
51,6, 4416
51,7, 4416
51,8, 4416
51,9, 4416
52, 4416
52,1, 4416
52,2, 4416
52,3, 4096
52,4, 4096
52,5, 4096
52,6, 4096
52,7, 4096
52,8, 4096
52,9, 4096
53, 4096
53,1, 4096
53,2, 4096
53,3, 4352
53,4, 4352
53,5, 4352
53,6, 4352
53,7, 4352
53,8, 4352
53,9, 4352
54, 4352
54,1, 4352
54,2, 4352
54,3, 4544
54,4, 4544
54,5, 4544
54,6, 4544
54,7, 4544
54,8, 4544
54,9, 4544
55, 4544
55,1, 4544
55,2, 4544
55,3, 4224
55,4, 4224
55,5, 4224
55,6, 4224
55,7, 4224
55,8, 4224
55,9, 4224
56, 4224
56,1, 4224
56,2, 4224
56,3, 4352
56,4, 4352
56,5, 4352
56,6, 4352
56,7, 4352
56,8, 4352
56,9, 4352
57, 4352
57,1, 4352
57,2, 4352
57,3, 4224
57,4, 4224
57,5, 4224
57,6, 4224
57,7, 4224
57,8, 4224
57,9, 4224
58, 4224
58,1, 4224
58,2, 4224
58,3, 4352
58,4, 4352
58,5, 4352
58,6, 4352
58,7, 4352
58,8, 4352
58,9, 4352
59, 4352
59,1, 4352
59,2, 4352
59,3, 4224
59,4, 4224
59,5, 4224
59,6, 4224
59,7, 4224
59,8, 4224
59,9, 4224
60, 4224
60,1, 4224
60,2, 4224
60,3, 4416
60,4, 4416
60,5, 4416
60,6, 4416
60,7, 4416
60,8, 4416
60,9, 4416
61, 4416
61,1, 4416
61,2, 4416
61,3, 4288
61,4, 4288
61,5, 4288
61,6, 4288
61,7, 4288
61,8, 4288
61,9, 4288
62, 4288
62,1, 4288
62,2, 4288
62,3, 4288
62,4, 4288
62,5, 4288
62,6, 4288
62,7, 4288
62,8, 4288
62,9, 4288
63, 4288
63,1, 4288
63,2, 4288
63,3, 4544
63,4, 4544
63,5, 4544
63,6, 4544
63,7, 4544
63,8, 4544
63,9, 4544
64, 4544
64,1, 4544
64,2, 4544
64,3, 4416
64,4, 4416
64,5, 4416
64,6, 4416
64,7, 4416
64,8, 4416
64,9, 4416
65, 4416
65,1, 4416
65,2, 4416
65,3, 4352
65,4, 4352
65,5, 4352
65,6, 4352
65,7, 4352
65,8, 4352
65,9, 4352
66, 4352
66,1, 4352
66,2, 4352
66,3, 4416
66,4, 4416
66,5, 4416
66,6, 4416
66,7, 4416
66,8, 4416
66,9, 4416
67, 4416
67,1, 4416
67,2, 4416
67,3, 4224
67,4, 4224
67,5, 4224
67,6, 4224
67,7, 4224
67,8, 4224
67,9, 4224
68, 4224
68,1, 4224
68,2, 4224
68,3, 4416
68,4, 4416
68,5, 4416
68,6, 4416
68,7, 4416
68,8, 4416
68,9, 4416
69, 4416
69,1, 4416
69,2, 4416
69,3, 4416
69,4, 4416
69,5, 4416
69,6, 4416
69,7, 4416
69,8, 4416
69,9, 4416
70, 4416
70,1, 4416
70,2, 4416
70,3, 4416
70,4, 4416
70,5, 4416
70,6, 4416
70,7, 4416
70,8, 4416
70,9, 4416
71, 4416
71,1, 4416
71,2, 4416
71,3, 4224
71,4, 4224
71,5, 4224
71,6, 4224
71,7, 4224
71,8, 4224
71,9, 4224
72, 4224
72,1, 4224
72,2, 4224
72,3, 4160
72,4, 4160
72,5, 4160
72,6, 4160
72,7, 4160
72,8, 4160
72,9, 4160
73, 4160
73,1, 4160
73,2, 4160
73,3, 4032
73,4, 4032
73,5, 4032
73,6, 4032
73,7, 4032
73,8, 4032
73,9, 4032
74, 4032
74,1, 4032
74,2, 4032
74,3, 4288
74,4, 4288
74,5, 4288
74,6, 4288
74,7, 4288
74,8, 4288
74,9, 4288
75, 4288
75,1, 4288
75,2, 4288
75,3, 4096
75,4, 4096
75,5, 4096
75,6, 4096
75,7, 4096
75,8, 4096
75,9, 4096
76, 4096
76,1, 4096
76,2, 4096
76,3, 4416
76,4, 4416
76,5, 4416
76,6, 4416
76,7, 4416
76,8, 4416
76,9, 4416
77, 4416
77,1, 4416
77,2, 4416
77,3, 4608
77,4, 4608
77,5, 4608
77,6, 4608
77,7, 4608
77,8, 4608
77,9, 4608
78, 4608
78,1, 4608
78,2, 4608
78,3, 4544
78,4, 4544
78,5, 4544
78,6, 4544
78,7, 4544
78,8, 4544
78,9, 4544
79, 4544
79,1, 4544
79,2, 4544
79,3, 4416
79,4, 4416
79,5, 4416
79,6, 4416
79,7, 4416
79,8, 4416
79,9, 4416
80, 4416
80,1, 4416
80,2, 4416
80,3, 4416
80,4, 4416
80,5, 4416
80,6, 4416
80,7, 4416
80,8, 4416
80,9, 4416
81, 4416
81,1, 4416
81,2, 4416
81,3, 4416
81,4, 4416
81,5, 4416
81,6, 4416
81,7, 4416
81,8, 4416
81,9, 4416
82, 4416
82,1, 4416
82,2, 4416
82,3, 4416
82,4, 4416
82,5, 4416
82,6, 4416
82,7, 4416
82,8, 4416
82,9, 4416
83, 4416
83,1, 4416
83,2, 4416
83,3, 4416
83,4, 4416
83,5, 4416
83,6, 4416
83,7, 4416
83,8, 4416
83,9, 4416
84, 4416
84,1, 4416
84,2, 4416
84,3, 4160
84,4, 4160
84,5, 4160
84,6, 4160
84,7, 4160
84,8, 4160
84,9, 4160
85, 4160
85,1, 4160
85,2, 4160
85,3, 4800
85,4, 4800
85,5, 4800
85,6, 4800
85,7, 4800
85,8, 4800
85,9, 4800
86, 4800
86,1, 4800
86,2, 4800
86,3, 4544
86,4, 4544
86,5, 4544
86,6, 4544
86,7, 4544
86,8, 4544
86,9, 4544
87, 4544
87,1, 4544
87,2, 4544
87,3, 4672
87,4, 4672
87,5, 4672
87,6, 4672
87,7, 4672
87,8, 4672
87,9, 4672
88, 4672
88,1, 4672
88,2, 4672
88,3, 4608
88,4, 4608
88,5, 4608
88,6, 4608
88,7, 4608
88,8, 4608
88,9, 4608
89, 4608
89,1, 4608
89,2, 4608
89,3, 4928
89,4, 4928
89,5, 4928
89,6, 4928
89,7, 4928
89,8, 4928
89,9, 4928
90, 4928
90,1, 4928
90,2, 4928
90,3, 4608
90,4, 4608
90,5, 4608
90,6, 4608
90,7, 4608
90,8, 4608
90,9, 4608
91, 4608
91,1, 4608
91,2, 4608
91,3, 4288
91,4, 4288
91,5, 4288
91,6, 4288
91,7, 4288
91,8, 4288
91,9, 4288
92, 4288
92,1, 4288
92,2, 4288
92,3, 4736
92,4, 4736
92,5, 4736
92,6, 4736
92,7, 4736
92,8, 4736
92,9, 4736
93, 4736
93,1, 4736
93,2, 4736
93,3, 4928
93,4, 4928
93,5, 4928
93,6, 4928
93,7, 4928
93,8, 4928
93,9, 4928
94, 4928
94,1, 4928
94,2, 4928
94,3, 5696
94,4, 5696
94,5, 5696
94,6, 5696
94,7, 5696
94,8, 5696
94,9, 5696
95, 5696
95,1, 5696
95,2, 5696
95,3, 4800
95,4, 4800
95,5, 4800
95,6, 4800
95,7, 4800
95,8, 4800
95,9, 4800
96, 4800
96,1, 4800
96,2, 4800
96,3, 5120
96,4, 5120
96,5, 5120
96,6, 5120
96,7, 5120
96,8, 5120
96,9, 5120
97, 5120
97,1, 5120
97,2, 5120
97,3, 4736
97,4, 4736
97,5, 4736
97,6, 4736
97,7, 4736
97,8, 4736
97,9, 4736
98, 4736
98,1, 4736
98,2, 4736
98,3, 5312
98,4, 5312
98,5, 5312
98,6, 5312
98,7, 5312
98,8, 5312
98,9, 5312
99, 5312
99,1, 5312
99,2, 5312
99,3, 5568
99,4, 5568
99,5, 5568
99,6, 5568
99,7, 5568
99,8, 5568
99,9, 5568
100, 5568
100,1, 5568
100,2, 5568
100,3, 5568
100,4, 5568
100,5, 5568
100,6, 5568
100,7, 5568
100,8, 5568
100,9, 5568
101, 5568
101,1, 5568
101,2, 5568
101,3, 5504
101,4, 5504
101,5, 5504
101,6, 5504
101,7, 5504
101,8, 5504
101,9, 5504
102, 5504
102,1, 5504
102,2, 5504
102,3, 5760
102,4, 5760
102,5, 5760
102,6, 5760
102,7, 5760
102,8, 5760
102,9, 5760
103, 5760
103,1, 5760
103,2, 5760
103,3, 5952
103,4, 5952
103,5, 5952
103,6, 5952
103,7, 5952
103,8, 5952
103,9, 5952
104, 5952
104,1, 5952
104,2, 5952
104,3, 6272
104,4, 6272
104,5, 6272
104,6, 6272
104,7, 6272
104,8, 6272
104,9, 6272
105, 6272
105,1, 6272
105,2, 6272
105,3, 6784
105,4, 6784
105,5, 6784
105,6, 6784
105,7, 6784
105,8, 6784
105,9, 6784
106, 6784
106,1, 6784
106,2, 6784
106,3, 6464
106,4, 6464
106,5, 6464
106,6, 6464
106,7, 6464
106,8, 6464
106,9, 6464
107, 6464
107,1, 6464
107,2, 6464
107,3, 7104
107,4, 7104
107,5, 7104
107,6, 7104
107,7, 7104
107,8, 7104
107,9, 7104
108, 7104
108,1, 7104
108,2, 7104
108,3, 7168
108,4, 7168
108,5, 7168
108,6, 7168
108,7, 7168
108,8, 7168
108,9, 7168
109, 7168
109,1, 7168
109,2, 7168
109,3, 7552
109,4, 7552
109,5, 7552
109,6, 7552
109,7, 7552
109,8, 7552
109,9, 7552
110, 7552
110,1, 7552
110,2, 7552
110,3, 8256
110,4, 8256
110,5, 8256
110,6, 8256
110,7, 8256
110,8, 8256
110,9, 8256
111, 8256
111,1, 8256
111,2, 8256
111,3, 8448
111,4, 8448
111,5, 8448
111,6, 8448
111,7, 8448
111,8, 8448
111,9, 8448
112, 8448
112,1, 8448
112,2, 8448
112,3, 9408
112,4, 9408
112,5, 9408
112,6, 9408
112,7, 9408
112,8, 9408
112,9, 9408
113, 9408
113,1, 9408
113,2, 9408
113,3, 9792
113,4, 9792
113,5, 9792
113,6, 9792
113,7, 9792
113,8, 9792
113,9, 9792
114, 9792
114,1, 9792
114,2, 9792
114,3, 11456
114,4, 11456
114,5, 11456
114,6, 11456
114,7, 11456
114,8, 11456
114,9, 11456
115, 11456
115,1, 11456
115,2, 11456
115,3, 12928
115,4, 12928
115,5, 12928
115,6, 12928
115,7, 12928
115,8, 12928
115,9, 12928
116, 12928
116,1, 12928
116,2, 12928
116,3, 23808
116,4, 23808
116,5, 23808
116,6, 23808
116,7, 23808
116,8, 23808
116,9, 23808
117, 23808
117,1, 23808
117,2, 23808
117,3, 41280
117,4, 41280
117,5, 41280
117,6, 41280
117,7, 41280
117,8, 41280
117,9, 41280
118, 41280
118,1, 41280
118,2, 41280
118,3, 50752
118,4, 50752
118,5, 50752
