Pixels. Value
0. 0.0113129640886128
0.1. 0.0113129640886128
0.2. 0.0113129640886128
0.3. 0.0113129640886128
0.4. 0.0113129640886128
0.5. 0.0113129640886128
0.6. 0.0113129640886128
0.7. 0.0113129640886128
0.8. 0.0113129640886128
0.9. 0.0113129640886128
1. 0.0113129640886128
1.1. 0.0176503189715857
1.2. 0.0209708834309286
1.3. 0.0209708834309286
1.4. 0.0209708834309286
1.5. 0.0209708834309286
1.6. 0.0209708834309286
1.7. 0.0209708834309286
1.8. 0.0209708834309286
1.9. 0.0209708834309286
2. 0.0209708834309286
2.1. 0.0209708834309286
2.2. 0.0209708834309286
2.3. 0.0362119600503097
2.4. 0.0362119600503097
2.5. 0.0362119600503097
2.6. 0.0362119600503097
2.7. 0.0362119600503097
2.8. 0.0362119600503097
2.9. 0.0362119600503097
3. 0.0362119600503097
3.1. 0.0362119600503097
3.2. 0.0452204314542051
3.3. 0.0452204314542051
3.4. 0.0452204314542051
3.5. 0.0795678474232435
3.6. 0.0795678474232435
3.7. 0.0795678474232435
3.8. 0.0795678474232435
3.9. 0.0795678474232435
4. 0.0795678474232435
4.1. 0.0795678474232435
4.2. 0.0795678474232435
4.3. 0.0795678474232435
4.4. 0.0795678474232435
4.5. 0.0795678474232435
4.6. 0.168720289421562
4.7. 0.168720289421562
4.8. 0.168720289421562
4.9. 0.168720289421562
5. 0.168720289421562
5.1. 0.259653475767162
5.2. 0.259653475767162
5.3. 0.259653475767162
5.4. 0.259653475767162
5.5. 0.259653475767162
5.6. 0.259653475767162
5.7. 0.259653475767162
5.8. 0.44422238987953
5.9. 0.44422238987953
6. 0.44422238987953
6.1. 0.44422238987953
6.2. 0.44422238987953
6.3. 0.44422238987953
6.4. 0.44422238987953
6.5. 0.44422238987953
6.6. 0.44422238987953
6.7. 0.44422238987953
6.8. 0.44422238987953
6.9. 0.44422238987953
7. 0.537690518178319
7.1. 0.537690518178319
7.2. 0.537690518178319
7.3. 0.537690518178319
7.4. 0.537690518178319
7.5. 0.537690518178319
7.6. 0.537690518178319
7.7. 0.537690518178319
7.8. 0.537690518178319
7.9. 0.537690518178319
8. 0.537690518178319
8.1. 0.518133755258467
8.2. 0.518133755258467
8.3. 0.518133755258467
8.4. 0.518133755258467
8.5. 0.518133755258467
8.6. 0.518133755258467
8.7. 0.518133755258467
8.8. 0.518133755258467
8.9. 0.518133755258467
9. 0.51436276722893
9.1. 0.51436276722893
9.2. 0.51436276722893
9.3. 0.511565951107023
9.4. 0.511565951107023
9.5. 0.511565951107023
9.6. 0.511565951107023
9.7. 0.511565951107023
9.8. 0.511565951107023
9.9. 0.511565951107023
10. 0.511565951107023
10.1. 0.511565951107023
